"东"	""	"DS"	"DONG"	"东陈车乐宋末京奈"
"冬"	""	"DS"	"DONG"	"冬咚各名令吝今"
"咚"	"口冬"	"DS"	"DONG"	"咚冬夂夊"
"岽"	"山东"	"DS"	"DONG"	"岽东陈"
"氡"	"气冬"	"DS"	"DONG"	"氡氕"
"鸫"	"东鸟"	"DS"	"DONG"	"鸫鸦"
"董"	""	"DS"	"DONG"	"董重童量秦萎"
"懂"	""	"DS"	"DONG"	"懂童撞僵幢"
"动"	"云力"	"DS"	"DONG"	"动却劫劲劝幼功刮"
"冻"	"二东"	"DS"	"DONG"	"冻东陈炼栋胨凉株珠"
"恫"	""	"DS"	"DONG"	"恫侗同垌峒洞胴硐桐悯炯"
"栋"	"木东"	"DS"	"DONG"	"栋冻东陈炼胨核棕拣株"
"洞"	"三同"	"DS"	"DONG"	"洞恫侗同垌峒胴硐涸涧润涡"
"胨"	"月东"	"DS"	"DONG"	"胨栋冻东陈炼"
"胴"	"月同"	"DS"	"DONG"	"胴垌侗同峒恫洞硐"
"硐"	"石同"	"DS"	"DONG"	"硐胴垌侗同峒恫洞"
"都"	""	"DB"	"DOU"	"都者阝部郁郡"
"兜"	""	"DB"	"DOU"	"兜蔸篼曳"
"蔸"	""	"DB"	"DOU"	"蔸兜篼"
"篼"	""	"DB"	"DOU"	"篼兜蔸"
"斗"	""	"DB"	"DOU"	"斗抖钭寸头"
"抖"	""	"DB"	"DOU"	"抖斗钭科"
"陡"	""	"DB"	"DOU"	"陡走陆陵"
"蚪"	"虫斗"	"DB"	"DOU"	"蚪斗"
"豆"	""	"DB"	"DOU"	"豆逗豇痘壹"
"逗"	""	"DB"	"DOU"	"逗豆豇痘逞适逼"
"痘"	""	"DB"	"DOU"	"痘逗豆豇痕疽痞"
"窦"	""	"DB"	"DOU"	"窦察卖"
"嘟"	"口都"	"DU"	"DU"	"嘟都者"
"督"	"叔日"	"DU"	"DU"	"督皆瞥臂餐"
"毒"	""	"DU"	"DU"	"毒素秦责"
"读"	"言卖"	"DU"	"DU"	"读椟渎犊黩牍续"
"渎"	"三读"	"DU"	"DU"	"渎犊黩椟读牍续"
"椟"	"木卖"	"DU"	"DU"	"椟读渎犊黩牍续"
"牍"	"片卖"	"DU"	"DU"	"牍读椟渎犊黩续"
"犊"	"牛卖"	"DU"	"DU"	"犊牍读椟渎黩续"
"黩"	"黑卖"	"DU"	"DU"	"黩犊牍读椟渎续"
"髑"	"骨蜀"	"DU"	"DU"	"髑骨鹘馉蓇蜀"
"独"	""	"DU"	"DU"	"独虫蚀浊烛"
"笃"	"竹马"	"DU"	"DU"	"笃马蚂"
"堵"	"土者"	"DU"	"DU"	"堵者猪赌睹绪储"
"赌"	"贝者"	"DU"	"DU"	"赌堵者猪睹赂赔储贿睹"
"睹"	"目者"	"DU"	"DU"	"睹赌堵者猪腊晴暗储"
"芏"	""	"DU"	"DU"	"芏芷土"
"妒"	"女户"	"DU"	"DU"	"妒护炉驴沪"
"杜"	"木土"	"DU"	"DU"	"杜土村材肚杠牡壮社枉"
"肚"	"月土"	"DU"	"DU"	"肚杜肛肝"
"度"	""	"DU"	"DU"	"度渡镀废厦庚"
"渡"	"三度"	"DU"	"DU"	"渡度镀遮波疲液"
"镀"	"金度"	"DU"	"DU"	"镀渡度波疲"
"蠹"	""	"DU"	"DU"	"蠹蠢"
"端"	""	"DR"	"DUAN"	"端喘颛瑞揣湍碳"
"短"	"矢豆"	"DR"	"DUAN"	"短知矩豆矢"
"段"	""	"DR"	"DUAN"	"段锻投殷役股殴"
"断"	""	"DR"	"DUAN"	"断斩靳继"
"缎"	""	"DR"	"DUAN"	"缎段锻椴煅"
"椴"	"木段"	"DR"	"DUAN"	"椴煅锻缎段"
"煅"	"火段"	"DR"	"DUAN"	"煅锻缎段椴"
"锻"	"金段"	"DR"	"DUAN"	"锻缎段椴煅"
"簖"	"竹断"	"DR"	"DUAN"	"簖断继"
"堆"	"土隹"	"DV"	"DUI"	"堆谁隹惟准椎唯维碓"
"队"	""	"DV"	"DUI"	"队除阶趴"
"对"	"又寸"	"DV"	"DUI"	"对寸村材讨时衬"
"兑"	""	"DV"	"DUI"	"兑说总兄兔"
"怼"	"对心"	"DV"	"DUI"	"怼对慰"
"碓"	"石隹"	"DV"	"DUI"	"碓谁隹惟准椎唯维堆"
"憝"	"敦心"	"DV"	"DUI"	"憝敦镦礅墩"
"镦"	"金敦"	"DP"	"DUN"	"镦憝敦礅墩"
"吨"	"口屯"	"DP"	"DUN"	"吨屯炖"
"敦"	""	"DP"	"DUN"	"敦憝镦墩礅孰教数敖敷款"
"墩"	"土敦"	"DP"	"DUN"	"墩敦憝镦礅傲檄缴渤激"
"鼾"	"鼻干"	"HJ"	"HAN"	"鼾鼻"
"罕"	""	"HJ"	"HAN"	"罕空辛空孪李牟竿"
"汉"	"三汉"	"HJ"	"HAN"	"汉双又汰沂沉沮江双"
"嗬"	"口荷"	"HE"	"HE"	"嗬荷河菏何"
"鹤"	""	"HE"	"HE"	"鹤鸡鸣鹅鹊鸥鹃龄翅"
"痕"	""	"HF"	"HEN"	"痕狠恨很疮痘瘪痹痪疤"
"亨"	""	"HG"	"HENG"	"亨哼字亭夸享宇吝"
"衡"	""	"HG"	"HENG"	"衡蘅街衔腐裙筒筑"
"候"	""	"HB"	"HOU"	"候糇侯喉猴瘊篌堠侯幌惺假恨恢"
"珙"	"王共"	"GS"	"GONG"	"珙拱共"
"缑"	""	"GB"	"GOU"	"缑候"
"孤"	"子瓜"	"GU"	"GU"	"孤瓜菰觚狐弧抓扼郊驰"
"鹘"	"骨鸟"	"GU"	"GU"	"鹘骨馉蓇"
"股"	""	"GU"	"GU"	"股设殳胜胆肢般胶脸"
"罟"	"四古"	"GU"	"GU"	"罟李罘"
"寡"	""	"GW"	"GUA"	"寡褂募富幂宴幂算"
"归"	""	"GV"	"GUI"	"归彐旧伯妇扫泊叼"
"簋"	""	"GV"	"GUI"	"簋"
"崞"	"山享"	"GO"	"GUO"	"崞郭享"
"聒"	"耳舌"	"GO"	"GUO"	"聒舌"
"馥"	"香复"	"FU"	"FU"	"馥腹复覆"
"溉"	"三既"	"GL"	"GAI"	"溉概慨概滁激溜澈"
"坩"	"土甘"	"GJ"	"GAN"	"坩泔苷柑疳绀"
"赶"	"走干"	"GJ"	"GAN"	"赶秆酐竿杆干肝旰矸赴赵进妊菠硅"
"钢"	"金冈"	"GH"	"GANG"	"钢风岗纲纲钠铜钡锅钥"
"槔"	"木皋"	"GK"	"GAO"	"槔阜"
"跟"	""	"GF"	"GEN"	"跟根银艮哏茛眼跪路限踞粮"
"羹"	""	"GG"	"GENG"	"羹葵奠冀董舅熏"
"飞"	""	"FZ"	"FEI"	"飞乙乀下卫乃万卞工"
"翡"	"非羽"	"FZ"	"FEI"	"翡榧斐悱诽匪腓鲱霏蜚扉啡非绯菲篚痱"
"吠"	"口犬"	"FZ"	"FEI"	"吠大犬吹状伏听吐吮"
"枫"	"木风"	"FG"	"FENG"	"枫风讽疯砜祝机视掀讽执"
"凫"	"鸟几"	"FU"	"FU"	"凫鸟岛"
"甦"	""	""	""	""
"洄"	"三回，三口口"	"HV"	"HUI"	"洄回茴蛔"
"椁"	"木享"	"GO"	"GUO"	"椁享"
"蜾"	"虫果"	"GO"	"GUO"	"蜾果猓"
"涵"	"三函"	"HJ"	"HAN"	"涵函滴庙洒瘤酒滔"
"夯"	"大力"	"HH"	"HANG"	"夯历穷奔杏交夺夹"
"耗"	""	"HK"	"HAO"	"耗毛括转徒韩耪症"
"和"	"禾口"	"HE"	"HE"	"和种永莉冲劝私秆"
"曷"	""	"HE"	"HE"	"曷喝遏歇"
"宏"	""	"HS"	"HONG"	"宏害寄安寒宋宠客奈"
"供"	"人共"	"GS"	"GONG"	"供共洪烘垛拱哄伐"
"沟"	"三勾"	"GB"	"GOU"	"沟勾钓钩构购询泡淘泊河狗"
"沽"	"三古"	"GU"	"GU"	"沽姑估咕轱菇鸪蛄酤沾泊沧泡治沼"
"觚"	"角瓜"	"GU"	"GU"	"觚孤瓜菰"
"鹄"	"告鸟"	"GU"	"GU"	"鹄郜造"
"鸹"	"舌鸟"	"GW"	"GUA"	"鸹舐"
"掼"	""	"GR"	"GUAN"	"掼惯贯"
"光"	""	"GD"	"GUANG"	"光晃咣桄胱咒米允兄纪尤"
"宄"	""	"GV"	"GUI"	"宄旭究"
"鬼"	""	"GV"	"GUI"	"鬼瑰魃魑魈魁魅魍魉甩宠范宽兔笼"
"鳜"	"鱼厥"	"GV"	"GUI"	"鳜鱿"
"绲"	""	"GP"	"GUN"	"绲棍昆辊"
"呙"	""	"GO"	"GUO"	"呙埚锅"
"赅"	"贝亥"	"GL"	"GAI"	"赅该赅陔"
"钙"	"金丐"	"GL"	"GAI"	"钙丐钝锌钓钨钥钟"
"盖"	""	"GL"	"GAI"	"盖美羞麦盅责羡表"
"甘"	""	"GJ"	"GAN"	"甘且古长杜片什"
"橄"	"木敢"	"GJ"	"GAN"	"橄敢憨澉"
"睾"	"血辛"	"GK"	"GAO"	"睾辛"
"镐"	"金高"	"GK"	"GAO"	"镐稿槁搞高槁蒿稿揭锅铺镇辐"
"格"	"木各"	"GE"	"GE"	"格各胳枪铬棺络烙掐"
"哿"	"加可"	"GE"	"GE"	"哿可舸架"
"绠"	""	"GG"	"GENG"	"绠埂哽更梗鲠"
"鲂"	"鱼方"	"FH"	"FANG"	"鲂方访邡坊枋芳钫防房肪仿肪彷纺放舫妨"
"非"	""	"FZ"	"FEI"	"非井菲韭诈罪柞并"
"玢"	"王分"	"FF"	"FEN"	"玢酚汾分吩纷芬氛鼢"
"丰"	""	"FG"	"FENG"	"丰三辛末申去卒车"
"沣"	"三丰"	"FG"	"FENG"	"沣丰"
"唪"	"口奉"	"FG"	"FENG"	"唪奉"
"缶"	"午山"	"FB"	"FOU"	"缶缸矢"
"麸"	"麦夫"	"FU"	"FU"	"麸趺肤呋夫"
"弗"	""	"FU"	"FU"	"弗佛拂绋纬殆恭伟菲姥"
"茯"	""	"FU"	"FU"	"茯伏"
"幞"	""	"FU"	"FU"	"幞噗濮"
"唭"	""	""	""	""
"壱"	""	""	""	""
"掴"	""	"GO"	"GUO"	"掴国帼蝈"
"海"	"三每"	"HL"	"HAI"	"海每侮嗨诲侮泡疮浴溶"
"寒"	""	"HJ"	"HAN"	"寒骞褰塞宏穿亲瑶宰窑"
"濠"	"三豪"	"HK"	"HAO"	"濠壕嚎豪嚎"
"颢"	"景页"	"HK"	"HAO"	"颢皓景影灏"
"诃"	"言可"	"HE"	"HE"	"诃呵可舸苛坷"
"何"	""	"HE"	"HE"	"何嗬荷河菏蚵坷河付柯佰村"
"核"	"木亥"	"HE"	"HE"	"核阂劾该亥咳骸胲孩栋枝接梭检"
"褐"	""	"HE"	"HE"	"褐歇曷遏易揭竭福祸蝎蔼"
"虹"	"虫工"	"HS"	"HONG"	"虹工虾扯杠蛀牡血"
"龚"	"龙共"	"GS"	"GONG"	"龚粪奠葵袭箕碧冀"
"汞"	"工水"	"GS"	"GONG"	"汞荥贡录系泵表乘"
"共"	""	"GS"	"GONG"	"共珙拱并井尖其戈兴"
"构"	"木勾"	"GB"	"GOU"	"构钩沟勾钓购拘枪钩柏均相"
"雇"	"户隹"	"GU"	"GU"	"雇隹肩犀鹿屑层肩届"
"龟"	""	"GV"	"GUI"	"龟电色角电芭仓包"
"锅"	""	"GO"	"GUO"	"锅埚呙祸钢镐铜锦铺"
"釜"	"父金"	"FU"	"FU"	"釜金滏差荣崇美苗紊"
"咐"	"口付"	"FU"	"FU"	"咐附付府驸财响叫啦吨咆"
"腹"	"月复"	"FU"	"FU"	"腹复馥腺脾瞪膛握腥"
"尬"	"九介"	"GA"	"GA"	"尬介"
"杆"	"木干"	"GJ"	"GAN"	"杆干肝竿秆赶旰矸秆柠扦村奸朴"
"泔"	"三甘"	"GJ"	"GAN"	"泔苷柑坩疳绀"
"革"	""	"GE"	"GE"	"革鞯鞯茧牵苗芭枣爸"
"塥"	""	"GE"	"GE"	"塥隔膈嗝镉"
"骼"	"骨"	"GE"	"GE"	"骼胳"
"各"	""	"GE"	"GE"	"各名吝冬务县名含"
"哏"	""	"GF"	"GEN"	"哏跟根银艮茛"
"放"	"方文"	"FH"	"FANG"	"放方访邡坊枋芳钫防房肪鲂仿肪彷纺舫妨故枚族效孜改"
"芬"	""	"FF"	"FEN"	"芬玢酚汾分吩纷氛鼢芽艾谷茅芥并"
"逢"	""	"FG"	"FENG"	"逢缝速迢逞适淫遣"
"讽"	"言风"	"FG"	"FENG"	"讽风疯砜枫沥调佩诚泅"
"奉"	""	"FG"	"FENG"	"奉俸棒楱榛牵彦章寿享孝"
"绂"	""	"FU"	"FU"	"绂拨"
"莩"	""	"FU"	"FU"	"莩郛俘莩"
"抚"	""	"FU"	"FU"	"抚无呒扰执流犹拆杭"
"忽"	"勿心"	"HU"	"HU"	"忽唿惚怒忍彩恕惩态"
"攻"	""	"GS"	"GONG"	"攻功玫坎功改垃枚"
"勾"	""	"GB"	"GOU"	"勾钓句匀勿旬坷甸"
"姑"	"女古"	"GU"	"GU"	"姑估咕沽轱菇鸪蛄酤妨站妇妓始拍"
"蛊"	"虫四"	"GU"	"GU"	"蛊虫盅盖畜盗盏瓮"
"妫"	"女为"	"GV"	"GUI"	"妫为女妇"
"皈"	"白反"	"GV"	"GUI"	"皈扳"
"晷"	"口咎"	"GV"	"GUI"	"晷咎"
"郭"	""	"GO"	"GUO"	"郭享崞部都鄙刻剖却"
"腑"	"月府"	"FU"	"FU"	"腑俯府付腑脆臃肺胳呢"
"付"	"人寸"	"FU"	"FU"	"付寸衬讨竹什仕村仟"
"鳆"	"鱼复"	"FU"	"FU"	"鳆蝮腹覆"
"感"	"咸心"	"GJ"	"GAN"	"感咸惑漆盛撬咸碌"
"郜"	""	"GK"	"GAO"	"郜诰告锆"
"锆"	"金告"	"GK"	"GAO"	"锆郜诰告"
"阁"	"门各"	"GE"	"GE"	"阁搁阎图阂闻阉闯"
"舸"	"舟可"	"GE"	"GE"	"舸哿可舟"
"茛"	""	"GF"	"GEN"	"茛跟根银艮哏"
"耿"	"耳火"	"GG"	"GENG"	"耿火耻职肋肤欧欲"
"肥"	"月巴"	"FZ"	"FEI"	"肥淝淝肥胆舵股胖陀舰"
"肺"	"月市"	"FZ"	"FEI"	"肺市脓饰脯肋腋脑"
"费"	"弗贝"	"FZ"	"FEI"	"费沸弗狒赘赛簧葬赁资"
"吩"	"口分"	"FF"	"FEN"	"吩纷芬玢酚汾分氛鼢盼呀份咙吸峪"
"鲼"	""	"FF"	"FEN"	"鲼愤偾贲粪"
"俸"	"人奉"	"FG"	"FENG"	"俸奉棒楱榛"
"扶"	""	"FU"	"FU"	"扶夫芙抉技抹挟法挤"
"拂"	""	"FU"	"FU"	"拂佛弗绋砩搅梯挑挪棚锑"
"苻"	""	"FU"	"FU"	"苻付符"
"俘"	"人孚"	"FU"	"FU"	"俘郛孵孚停悍浮惶佯烃"
"甫"	""	"FU"	"FU"	"甫捕哺傅辅南亩束虏市苗"
"菴"	""	""	"AN"	""
"悕"	"忄希"	"XI"	"XI"	"希郗钸欷贡系杀萧甭昂"
"鵼"	""	""	""	""
"敢"	""	"GJ"	"GAN"	"敢憨澉橄敬敌故敖敦欲"
"罡"	"四正"	"GH"	"GANG"	"罡罘"
"港"	"三巷"	"GH"	"GANG"	"港港洪湛灌溶澄涟泡"
"杠"	"木工"	"GH"	"GANG"	"杠缸虹工肛杜扛枉牡杆社"
"告"	""	"GK"	"GAO"	"告诰郜锆舍专苦号苫岩"
"膈"	""	"GE"	"GE"	"膈塥隔嗝镉"
"亘"	"一旦"	"GF"	"GEN"	"亘恒"
"坊"	"土方"	"FH"	"FANG"	"坊方访邡芳钫防房肪鲂仿肪彷纺放舫芳妨访块纺垃仿功"
"钫"	"金方"	"FH"	"FANG"	"钫方访邡坊枋芳防房肪鲂仿肪彷纺放舫妨"
"跪"	"足危"	"GV"	"GUI"	"跪危脆跟桅踞路跋"
"缚"	""	"FU"	"FU"	"缚博傅搏缮绳蹲簿傅"
"蝮"	"虫复"	"FU"	"FU"	"蝮腹鳆覆"
"尕"	"乃小"	"GA"	"GA"	"尕杂"
"概"	"木既"	"GL"	"GAI"	"概溉慨榴溉撅榔搬"
"竿"	"竹干"	"GJ"	"GAN"	"竿杆干肝酐秆赶旰矸毕牢羊芋学车"
"秆"	"禾干"	"GJ"	"GAN"	"秆酐竿杆干肝赶旰矸杆钎歼扦籽轩"
"旰"	"日干"	"GJ"	"GAN"	"旰竿杆干肝酐秆赶矸"
"淦"	"三金"	"GJ"	"GAN"	"淦金鑫"
"刚"	""	"GH"	"GANG"	"刚风冈则剐削刨删喇"
"搞"	""	"GK"	"GAO"	"搞高稿蒿缟镐槁蔼撮擒稿摘揭"
"戈"	""	"GE"	"GE"	"戈弋伐艾共龙义尤父"
"鸽"	"合鸟"	"GE"	"GE"	"鸽鸡钨鹊缉络韶祖"
"搁"	""	"GE"	"GE"	"搁阁摘捆嫡悯拥掘"
"镉"	""	"GE"	"GE"	"镉膈塥隔嗝"
"铬"	"金各"	"GE"	"GE"	"铬硌赂络各赂锗锥铝格路锚"
"艮"	""	"GF"	"GEN"	"艮哏跟根银茛"
"鲠"	"鱼更"	"GG"	"GENG"	"鲠梗绠埂哽更"
"枋"	"木方"	"FH"	"FANG"	"枋方访邡坊芳钫防房肪鲂仿肪彷纺放舫妨"
"仿"	"人方"	"FH"	"FANG"	"仿方访邡坊枋芳钫防房肪鲂肪彷纺放舫妨佑估伤访位伍"
"蜚"	"非虫"	"FZ"	"FEI"	"蜚扉啡非绯菲霏鲱腓匪诽悱斐榧翡篚痱"
"纷"	""	"FF"	"FEN"	"纷芬玢酚汾分吩氛鼢扮纽给纫线纹"
"坟"	"土文"	"FF"	"FEN"	"坟文坎垃块坊玫过"
"葑"	""	"FG"	"FENG"	"葑封寺"
"冯"	"二马"	"FG"	"FENG"	"冯马马玛增译鸡冷"
"敷"	""	"FU"	"FU"	"敷傅博敦缴戴数载勒"
"服"	""	"FU"	"FU"	"服郛报胎脓眼胀胳朋"
"桴"	"木孚"	"FU"	"FU"	"桴俘孚"
"傃"	"亻素"	"SU"	"SU"	"素毒毒秦袁责妻累"
"洀"	"氵舟"	"PJ"	"PAN"	"盘舟盤盗盈盎裙盅涤"
"霙"	""	""	""	""
"瑩"	""	""	""	""
"嘅"	""	""	""	""
"閖"	""	""	""	""
"侥"	"人尧"	"JC"	"JIAO"	"侥桡饶娆桡绕挠浇烧俊饶晓"
"狡"	""	"JC"	"JIAO"	"狡交饺绞皎校波狭绞技疫"
"饺"	""	"JC"	"JIAO"	"饺绞狡交皎铰校竣恢健俊"
"敫"	""	"JC"	"JIAO"	"敫殷"
"皆"	"比白"	"JX"	"JIE"	"皆谐背昏臂苔尊督"
"秸"	"禾吉"	"JX"	"JIE"	"秸告吉稻珐桔括核结"
"唧"	"口即"	"JI"	"JI"	"唧即鲫"
"及"	""	"JI"	"JI"	"及汲芨吸岌级极笈反没发灰页茂"
"楫"	""	"JI"	"JI"	"楫戢揖缉辑"
"霁"	"雨齐"	"JI"	"JI"	"霁齐雨鲚"
"痂"	""	"JW"	"JIA"	"痂珈枷迦加茄笳袈嘉"
"郏"	""	"JW"	"JIA"	"郏浃侠狭硖夹荚铗蛱颊"
"壶"	""	"HU"	"HU"	"壶売壳显盖蚕壹益黍"
"虎"	""	"HU"	"HU"	"虎虚彪唬琥虏虑虚戍戌厌"
"户"	""	"HU"	"HU"	"户房护产尸卢力斤亡"
"冱"	"二互"	"HU"	"HU"	"冱互"
"笏"	"竹勿"	"HU"	"HU"	"笏勿忽"
"寰"	""	"HR"	"HUAN"	"寰缳"
"患"	"串心，中忠"	"HR"	"HUAN"	"患串思恩愚惠恳急"
"鲩"	"鱼完"	"HR"	"HUAN"	"鲩鲽"
"慌"	""	"HD"	"HUANG"	"慌荒倪谎惯愤悦烯"
"灰"	""	"HV"	"HUI"	"灰诙咴恢衣农茨友及庆"
"晦"	"日每"	"HV"	"HUI"	"晦每诲悔晤晴畴咯暗"
"惠"	""	"HV"	"HUI"	"惠穗恿愚患恳意豪"
"焓"	"火含"	"HJ"	"HAN"	"焓晗含"
"绗"	""	"HH"	"HANG"	"绗衍愆"
"好"	"女子"	"HK"	"HAO"	"好孬奸妊妇蚌拧扦"
"昊"	"日天"	"HK"	"HAO"	"昊呈吴"
"禾"	""	"HE"	"HE"	"禾木未米示术末志"
"盍"	"去皿"	"HE"	"HE"	"盍阖"
"翮"	""	"HE"	"HE"	"翮融鬲翮"
"桁"	"木行"	"HG"	"HENG"	"桁行珩"
"轰"	"车双"	"HS"	"HONG"	"轰辍秦毒聂素泰萎"
"烘"	"火共"	"HS"	"HONG"	"烘哄共洪供哄洪焕蝶煤"
"弘"	""	"HS"	"HONG"	"弘泓社纪砧钻张丑"
"侯"	""	"HB"	"HOU"	"侯候喉猴瘊篌堠糇候债埃滨傍库"
"吼"	"口孔"	"HB"	"HOU"	"吼也巩吮啡吭呸哑"
"巩"	"工凡"	"GS"	"GONG"	"巩凡跫蛩恐銎讥况沉吼讯风"
"古"	"十口"	"GU"	"GU"	"古诂方甘女大力卞"
"固"	"口古"	"GU"	"GU"	"固因古苦因困图团周国"
"梏"	"木告"	"GU"	"GU"	"梏告牿"
"牿"	"牛告"	"GU"	"GU"	"牿梏告"
"刮"	""	"GW"	"GUA"	"刮舌乱辞利到别刻剖刽"
"怪"	""	"GY"	"GUAI"	"怪圣译惶烃惺傻煌慢"
"棺"	"木官"	"GR"	"GUAN"	"棺馆管官倌馆榷框梧格捐"
"盥"	""	"GR"	"GUAN"	"盥舆"
"灌"	""	"GR"	"GUAN"	"灌颧鹳罐港澄滔淫捷酒"
"硅"	"石圭"	"GV"	"GUI"	"硅闺鲑娃桂挂砖哇枝"
"磙"	"石衮"	"GP"	"GUN"	"磙滚衮"
"冈"	""	"GH"	"GANG"	"冈刚风网同闽肉闪闲"
"羔"	""	"GK"	"GAO"	"羔羊弟美亲菲黑芽"
"葛"	""	"GE"	"GE"	"葛喝暮墓幕甚慕富"
"埂"	"土更"	"GG"	"GENG"	"埂哽更绠梗鲠便梗硬谗痪匠"
"公"	""	"GS"	"GONG"	"公讼分仕企央处凸"
"镄"	"金费"	"FZ"	"FEI"	"镄费"
"烽"	""	"FG"	"FENG"	"烽峰锋蜂蜂煌烃燎傍峰"
"缝"	""	"FG"	"FENG"	"缝逢缓簇健缕键锋"
"孵"	"卵孚"	"FU"	"FU"	"孵孚俘郛僻畴瞒暇睬蹲"
"祓"	""	"FU"	"FU"	"祓拔拨"
"匐"	""	"FU"	"FU"	"匐匍"
"涪"	""	"FU"	"FU"	"涪倍洛洁洽清洁溶"
"符"	"竹服"	"FU"	"FU"	"符付苻将特持柠狞讶"
"蝠"	""	"FU"	"FU"	"蝠蝠幅"
"籐"	""	"TG"	"TENG"	"藤滕蔽蔚滚漆膝藏"
"騋"	""	""	""	""
"膠"	""	""	""	""
"雫"	""	""	""	""
"轷"	"车乎"	"HU"	"HU"	"轷烀呼乎"
"斛"	"角斗"	"HU"	"HU"	"斛解槲"
"唬"	"口虎"	"HU"	"HU"	"唬虎虚彪琥嘘咙喊畴味晓"
"瓠"	"夸瓜"	"HU"	"HU"	"瓠瓜弧"
"划"	""	"HW"	"HUA"	"划戈弋剁别创刽刻荆"
"宦"	""	"HR"	"HUAN"	"宦臣宫盲室宣崖寄"
"诙"	"言灰"	"HV"	"HUI"	"诙灰咴恢"
"骸"	"骨亥"	"HL"	"HAI"	"骸孩陔敬锻筋欲镀脸"
"醢"	""	"HL"	"HAI"	"醢"
"害"	""	"HL"	"HAI"	"害割豁宝寄青宫音窖"
"酣"	"西甘"	"HJ"	"HAN"	"酣蚶甘醋酪酿酚酗醋配"
"汗"	"三干"	"HJ"	"HAN"	"汗干杆讦开泞汀仔仟厅"
"壕"	"土豪"	"HK"	"HAO"	"壕嚎豪嚎濠嚎檬臻凑傣遵"
"荷"	""	"HE"	"HE"	"荷河何嗬菏蚵菏苟苛椅有奇"
"阖"	"门盍"	"HE"	"HE"	"阖闳"
"猴"	""	"HB"	"HOU"	"猴瘊篌堠糇侯候喉狠狼根猫棍喉"
"肱"	""	"GS"	"GONG"	"肱厷"
"佝"	"人句"	"GB"	"GOU"	"佝句狗"
"估"	"人古"	"GU"	"GU"	"估咕姑沽轱菇鸪蛄酤佑仿伯伍位佐"
"顾"	""	"GU"	"GU"	"顾页顿颐顽颈倾烦"
"锢"	""	"GU"	"GU"	"锢痼固鲴"
"关"	""	"GR"	"GUAN"	"关差郑矢夫尖失羊羌"
"倌"	"人官"	"GR"	"GUAN"	"倌棺馆管官"
"馆"	""	"GR"	"GUAN"	"馆管官倌棺棺论馅络饱晤"
"桄"	"木光"	"GD"	"GUANG"	"桄咣光晃胱"
"犷"	""	"GD"	"GUANG"	"犷广厂"
"负"	""	"FU"	"FU"	"负冂贝贞灸页免贪员"
"附"	""	"FU"	"FU"	"附付府咐驸财陇阳咐防恤"
"阜"	""	"FU"	"FU"	"阜卓早旱草享皋"
"驸"	"马付"	"FU"	"FU"	"驸咐附付府"
"赋"	"贝武"	"FU"	"FU"	"赋武赌赃贼赊贱赂"
"鲋"	"鱼付"	"FU"	"FU"	"鲋付鲶"
"噶"	"口葛"	"GA"	"GA"	"噶喝唱瘩嚼瘪疙喀"
"矸"	"石干"	"GJ"	"GAN"	"矸旰竿杆干肝酐秆赶"
"赣"	""	"GJ"	"GAN"	"赣章籍缀骇绩箍骏"
"肛"	"月工"	"GH"	"GANG"	"肛虹工缸杠肚肝瓜坏彤取"
"圪"	"土乞"	"GE"	"GE"	"圪讫乞纥疙疙"
"嗝"	""	"GE"	"GE"	"嗝隔膈镉塥"
"赓"	""	"GG"	"GENG"	"赓庚庾"
"舫"	"舟方"	"FH"	"FANG"	"舫方访邡坊枋芳钫防房肪鲂仿肪彷纺放妨"
"鲱"	"鱼非"	"FZ"	"FEI"	"鲱霏蜚扉啡非绯菲腓匪诽悱斐榧翡篚痱"
"酚"	"酉分"	"FF"	"FEN"	"酚汾分吩纷芬玢氛鼢酪酥醉酣酞醚"
"愤"	""	"FF"	"FEN"	"愤偾贲鲼粪债惯喷慎惨惕"
"峰"	""	"FG"	"FENG"	"峰烽锋蜂蜂烽峻修隆幢"
"夫"	""	"FU"	"FU"	"夫天大人呋肤趺麸矢去天充先犬"
"氣"	""	""	""	""
"侾"	""	""	""	""
"葠"	""	""	""	""
"脿"	""	""	""	""
"侢"	""	""	""	""
"醽"	""	""	""	""
"蒀"	""	""	""	""
"琟"	""	""	""	""
"蕳"	""	""	""	""
"篁"	"竹皇，竹白王"	"HD"	"HUANG"	"篁垦"
"阍"	"门昏，门氏日"	"HP"	"HUN"	"阍昏"
"虢"	""	"GO"	"GUO"	"虢虎乳"
"咯"	"口各"	"GE"	"GE"	"咯各铬硌络哈啃呛暗啥咆"
"孩"	"子亥"	"HL"	"HAI"	"孩陔骸核该技梭挟按"
"亥"	""	"HL"	"HAI"	"亥骇胲孩陔弃友衰妄奈其"
"骇"	"马亥"	"HL"	"HAI"	"骇胲孩陔亥骏验赣骤孩驶"
"憨"	"敢心"	"HJ"	"HAN"	"憨敢慈慰憋惑缀簇"
"酆"	""	"FG"	"FENG"	"酆豊罒"
"凤"	""	"FG"	"FENG"	"凤风夙疯砜讽风历阮凰阅琢"
"跗"	"足付"	"FU"	"FU"	"跗付府讨"
"氟"	""	"FU"	"FU"	"氟弗佛氮氯氨氛氢氖"
"浮"	"三孚"	"FU"	"FU"	"浮孚俘莩俘滓淫浑泛侄"
"喫"	""	""	""	""
"赺"	""	""	""	""
"羢"	""	""	""	""
